Data Set Export - SGWL.Working@OW320,,,,,
"GRADEDESCRIPTIONS-3=GAP, -2=UNUSABLE, 0=UNDEF, 11=POOR, 21=ESTIMATED, 31=GOOD, 41=VERYGOOD, 51=EXCELLENT, APPROVALDESCRIPTIONS 0=UNDEFINED, 1=WORKING, 2=IN REVIEW, 3=APPROVED",,,,,
Timestamp (UTC),Value (Metres),Grade Code,Approval Level,Interpolation Type,Comment
1992-10-02 12:00:00,23.749,0,3,1,
1992-10-26 12:00:00,23.775,0,3,1,
1992-11-29 12:00:00,23.749,0,3,1,
1992-12-28 12:00:00,23.78,0,3,1,
1993-02-01 12:00:00,23.673,0,3,1,
1993-03-01 12:00:00,23.673,0,3,1,
1993-03-29 12:00:00,23.627,0,3,1,
1993-04-26 12:00:00,23.597,0,3,1,
1993-05-31 12:00:00,23.505,0,3,1,
1993-06-28 12:00:00,23.597,0,3,1,
1993-07-26 12:00:00,23.78,0,3,1,
1993-08-30 12:00:00,24.298,0,3,1,
1993-09-27 12:00:00,24.115,0,3,1,
1993-10-31 12:00:00,23.963,0,3,1,
1993-11-29 12:00:00,23.932,0,3,1,
1993-12-27 12:00:00,23.947,0,3,1,
1994-01-31 12:00:00,23.917,0,3,1,
1994-02-28 12:00:00,23.886,0,3,1,
1994-03-28 12:00:00,23.841,0,3,1,
1994-04-25 12:00:00,23.795,0,3,1,
1994-05-30 12:00:00,24.115,0,3,1,
1994-06-27 12:00:00,24.237,0,3,1,
1994-08-01 12:00:00,24.74,0,3,1,
1994-08-29 12:00:00,24.846,0,3,1,
1994-09-26 12:00:00,24.465,0,3,1,
1994-10-31 12:00:00,24.267,0,3,1,
1994-11-28 12:00:00,24.298,0,3,1,
1995-01-02 12:00:00,24.222,0,3,1,
1995-01-30 12:00:00,24.176,0,3,1,
1995-02-27 12:00:00,24.115,0,3,1,
1995-03-27 12:00:00,23.978,0,3,1,
1995-05-01 12:00:00,23.841,0,3,1,
1995-05-29 12:00:00,24.252,0,3,1,
1995-06-26 12:00:00,24.419,0,3,1,
1995-07-31 12:00:00,24.801,0,3,1,
1995-08-28 12:00:00,24.526,0,3,1,
1995-10-02 12:00:00,24.481,0,3,1,
1995-10-30 12:00:00,24.389,0,3,1,
1995-11-27 12:00:00,24.298,0,3,1,
1996-01-01 12:00:00,24.145,0,3,1,
1996-01-27 12:00:00,24.054,0,3,1,
1996-02-26 12:00:00,23.963,0,3,1,
1996-04-01 12:00:00,23.719,0,3,1,
1996-04-29 12:00:00,23.658,0,3,1,
1996-05-27 12:00:00,23.612,0,3,1,
1996-06-24 12:00:00,24.024,0,3,1,
1996-07-29 12:00:00,24.481,0,3,1,
1996-08-26 12:00:00,24.755,0,3,1,
1996-09-30 12:00:00,24.328,0,3,1,
1996-10-28 12:00:00,24.1,0,3,1,
1996-11-25 12:00:00,24.054,0,3,1,
1996-12-30 12:00:00,23.856,0,3,1,
1997-01-27 12:00:00,23.688,0,3,1,
1997-02-24 12:00:00,23.475,0,3,1,
1997-03-31 12:00:00,23.14,0,3,1,
1997-04-28 12:00:00,23.079,0,3,1,
1997-05-26 12:00:00,23.018,0,3,1,
1997-06-23 12:00:00,22.957,0,3,1,
1997-07-28 12:00:00,23.536,0,3,1,
1997-08-25 12:00:00,23.841,0,3,1,
1997-09-29 12:00:00,23.322,0,3,1,
1997-10-27 12:00:00,23.231,0,3,1,
1997-11-24 12:00:00,23.018,0,3,1,
1997-12-29 12:00:00,23.018,0,3,1,
1998-01-26 12:00:00,22.865,0,3,1,
1998-02-23 12:00:00,22.743,0,3,1,
1998-03-23 12:00:00,22.591,0,3,1,
1998-04-27 12:00:00,22.469,0,3,1,
1998-05-25 12:00:00,22.53,0,3,1,
1998-06-29 12:00:00,23.14,0,3,1,
1998-07-27 12:00:00,23.505,0,3,1,
1998-08-31 12:00:00,23.685,0,3,1,
1998-09-28 12:00:00,23.353,0,3,1,
1998-10-26 12:00:00,23.17,0,3,1,
1998-11-30 12:00:00,23.109,0,3,1,
1998-12-28 12:00:00,22.896,0,3,1,
1999-01-31 12:00:00,23.377,0,3,1,
1999-02-22 12:00:00,22.774,0,3,1,
1999-03-29 12:00:00,22.042,0,3,1,
1999-04-26 12:00:00,21.92,0,3,1,
1999-05-30 12:00:00,22.225,0,3,1,
1999-06-28 12:00:00,22.469,0,3,1,
1999-07-26 12:00:00,22.652,0,3,1,
1999-08-30 12:00:00,22.835,0,3,1,
1999-09-27 12:00:00,22.621,0,3,1,
1999-10-25 12:00:00,22.439,0,3,1,
1999-11-29 12:00:00,22.317,0,3,1,
1999-12-27 12:00:00,22.195,0,3,1,
2000-01-31 12:00:00,22.103,0,3,1,
2000-02-28 12:00:00,21.981,0,3,1,
2000-03-27 12:00:00,21.951,0,3,1,
2000-04-24 12:00:00,21.92,0,3,1,
2000-05-29 12:00:00,22.073,0,3,1,
2000-06-26 12:00:00,22.378,0,3,1,
2000-07-31 12:00:00,22.987,0,3,1,
2000-08-28 12:00:00,23.048,0,3,1,
2000-09-25 12:00:00,22.835,0,3,1,
2000-10-30 12:00:00,22.652,0,3,1,
2001-01-01 12:00:00,22.56,0,3,1,
2001-01-15 12:00:00,22.53,0,3,1,
2001-01-29 12:00:00,22.56,0,3,1,
2001-02-26 12:00:00,22.56,0,3,1,
2001-03-20 12:00:00,22.5,0,3,1,
2001-04-02 12:00:00,22.47,0,3,1,
2001-04-30 12:00:00,22.56,0,3,1,
2001-05-28 12:00:00,22.62,0,3,1,
2001-06-25 12:00:00,23.2,0,3,1,
2001-07-30 12:00:00,23.866,0,3,1,
2001-08-27 12:00:00,23.597,0,3,1,
2001-09-21 12:00:00,23.475,0,3,1,
2001-10-29 12:00:00,23.261,0,3,1,
2001-11-05 12:00:00,23.231,0,3,1,
2001-11-12 12:00:00,23.231,0,3,1,
2001-11-19 12:00:00,23.231,0,3,1,
2001-11-26 12:00:00,23.261,0,3,1,
2001-12-03 12:00:00,23.201,0,3,1,
2001-12-10 12:00:00,23.14,0,3,1,
2001-12-17 12:00:00,23.109,0,3,1,
2001-12-24 12:00:00,23.109,0,3,1,
2001-12-31 12:00:00,23.079,0,3,1,
2002-01-07 12:00:00,23.079,0,3,1,
2002-01-14 12:00:00,23.079,0,3,1,
2002-01-21 12:00:00,23.048,0,3,1,
2002-01-28 12:00:00,23.048,0,3,1,
2002-02-04 12:00:00,23.048,0,3,1,
2002-02-18 12:00:00,23.048,0,3,1,
2002-02-25 12:00:00,23.018,0,3,1,
2002-03-04 12:00:00,22.957,0,3,1,
2002-03-11 12:00:00,22.896,0,3,1,
2002-03-18 12:00:00,22.835,0,3,1,
2002-03-25 12:00:00,22.835,0,3,1,
2002-04-02 12:00:00,22.835,0,3,1,
2002-04-09 12:00:00,22.804,0,3,1,
2002-04-16 12:00:00,22.804,0,3,1,
2002-04-23 12:00:00,22.804,0,3,1,
2002-04-30 12:00:00,22.804,0,3,1,
2002-05-06 12:00:00,22.804,0,3,1,
2002-05-13 12:00:00,22.804,0,3,1,
2002-05-20 12:00:00,22.896,0,3,1,
2002-05-27 12:00:00,22.926,0,3,1,
2002-06-03 12:00:00,23.322,0,3,1,
2002-06-10 12:00:00,23.322,0,3,1,
2002-06-17 12:00:00,23.444,0,3,1,
2002-06-24 12:00:00,23.565,0,3,1,
2002-07-01 12:00:00,23.627,0,3,1,
2002-07-08 12:00:00,23.719,0,3,1,
